PMID,Title,Abstract,MH,Test,CleanedText,cluster
28282721,Ethical Issues Surrounding Personalized Medicine: A Literature Review.,"More than a decade ago, personalized medicine was presented in modern medicine. Personalized medicine means that the right drug should be prescribed for the right patient based on genetic data. No doubt is developing medical sciences, and its shift into personalized medicine complicates ethical challenges more than before. In this review, we categorized all probable ethical considerations of personalized medicine in research and development and service provision. Based on our review, extensive changes in healthcare system including ethical changes are needed to overcome the ethical obstacles including knowledge gap and informed consent, privacy and confidentiality and availability of healthcare services. Furthermore social benefit versus science development and individual benefit should be balanced. Therefore guidelines and regulations should be compiled to represent the ethical framework; also ethical decision making should be day-to-day and individualized.",*Bioethical Issues Confidentiality Humans Informed Consent Precision Medicine/*ethics,"Ethical Issues Surrounding Personalized Medicine: A Literature Review. More than a decade ago, personalized medicine was presented in modern medicine. Personalized medicine means that the right drug should be prescribed for the right patient based on genetic data. No doubt is developing medical sciences, and its shift into personalized medicine complicates ethical challenges more than before. In this review, we categorized all probable ethical considerations of personalized medicine in research and development and service provision. Based on our review, extensive changes in healthcare system including ethical changes are needed to overcome the ethical obstacles including knowledge gap and informed consent, privacy and confidentiality and availability of healthcare services. Furthermore social benefit versus science development and individual benefit should be balanced. Therefore guidelines and regulations should be compiled to represent the ethical framework; also ethical decision making should be day-to-day and individualized. *Bioethical Issues Confidentiality Humans Informed Consent Precision Medicine/*ethics",ethic issu surround person literatur review decad ago person medicin present modern medicin person medicin mean right drug prescrib right patient base genet data doubt develop medic scienc shift person medicin complic ethic challeng review categor probabl ethic consider person medicin research develop servic provis base review extens chang healthcar system includ ethic chang need overcom ethic obstacl includ knowledg gap inform consent privaci confidenti avail healthcar servic furthermor social benefit versus scienc develop individu benefit balanc therefor guidelin regul compil repres ethic also ethic decis make individu issu confidenti human inform consent precis medicin,6
32580376,Pharmacogenomics and Personalized Medicine.,"Pharmacogenomics is one of the emerging approaches to precision medicine, tailoring drug selection and dosing to the patient's genetic features. In recent years, several pharmacogenetic guidelines have been published by international scientific consortia, but the uptake in clinical practice is still poor. Many coordinated international efforts are ongoing in order to overcome the existing barriers to pharmacogenomic implementation. On the other hand, existing validated pharmacogenomic markers can explain only a minor part of the observed clinical variability in the therapeutic outcome. New investigational approaches are warranted, including the study of the pharmacogenomic role of the immune system genetics and of previously neglected rare genetic variants, reported to account for a large part of the inter-individual variability in drug metabolism. In this Special Issue, we collected a series of articles covering many aspects of pharmacogenomics. These include clinical implementation of pharmacogenomics in clinical practice, development of tools or infrastractures to support this process, research of new pharmacogenomics markers to increase drug efficacy and safety, and the impact of rare genetic variants in pharmacogenomics.",*Biomarkers Humans *Pharmacogenetics Pharmacogenomic Testing *Precision Medicine,"Pharmacogenomics and Personalized Medicine. Pharmacogenomics is one of the emerging approaches to precision medicine, tailoring drug selection and dosing to the patient's genetic features. In recent years, several pharmacogenetic guidelines have been published by international scientific consortia, but the uptake in clinical practice is still poor. Many coordinated international efforts are ongoing in order to overcome the existing barriers to pharmacogenomic implementation. On the other hand, existing validated pharmacogenomic markers can explain only a minor part of the observed clinical variability in the therapeutic outcome. New investigational approaches are warranted, including the study of the pharmacogenomic role of the immune system genetics and of previously neglected rare genetic variants, reported to account for a large part of the inter-individual variability in drug metabolism. In this Special Issue, we collected a series of articles covering many aspects of pharmacogenomics. These include clinical implementation of pharmacogenomics in clinical practice, development of tools or infrastractures to support this process, research of new pharmacogenomics markers to increase drug efficacy and safety, and the impact of rare genetic variants in pharmacogenomics. *Biomarkers Humans *Pharmacogenetics Pharmacogenomic Testing *Precision Medicine",pharmacogenom person medicin pharmacogenom one emerg approach precis medicin tailor drug select dose patient genet featur recent year sever pharmacogenet guidelin publish intern scientif consortia uptak clinic practic still poor mani coordin intern effort ongo order overcom exist barrier pharmacogenom implement hand exist valid pharmacogenom marker explain minor part observ clinic variabl therapeut outcom new investig approach warrant includ studi pharmacogenom role immun system genet previous neglect rare genet variant report account larg part variabl drug metabol special issu collect seri articl cover mani aspect pharmacogenom includ clinic implement pharmacogenom clinic practic develop tool infrastractur support process research new pharmacogenom marker increas drug efficaci safeti impact rare genet variant pharmacogenom human pharmacogenom test medicin,2
28582322,Atopic dermatitis phenotypes and the need for personalized medicine.,"PURPOSE OF REVIEW: To describe recent developments in therapies which target the molecular mechanisms in atopic dermatitis. RECENT FINDINGS: Current advances in the understanding of the molecular basis of atopic dermatitis are leading to the stratification of different atopic dermatitis phenotypes. New therapies offer the option to target-specific molecules involved in the pathophysiology of atopic dermatitis. Current new therapies under investigation aim to modulate specific inflammatory pathways associated with distinctive atopic dermatitis phenotypes, which would potentially translate into the development of personalized, targeted-specific treatments of atopic dermatitis. SUMMARY: Despite the unmet need for well tolerated, effective, and personalized treatment of atopic dermatitis, the current standard treatments of atopic dermatitis do not focus on the individual pathogenesis of the disease. The development of targeted, phenotype-specific therapies has the potential to open a new promising era of individualized treatment of atopic dermatitis.","Biomarkers/metabolism Dermatitis, Atopic/*diagnosis/*metabolism/*therapy Humans Precision Medicine/*methods/trends","Atopic dermatitis phenotypes and the need for personalized medicine. PURPOSE OF REVIEW: To describe recent developments in therapies which target the molecular mechanisms in atopic dermatitis. RECENT FINDINGS: Current advances in the understanding of the molecular basis of atopic dermatitis are leading to the stratification of different atopic dermatitis phenotypes. New therapies offer the option to target-specific molecules involved in the pathophysiology of atopic dermatitis. Current new therapies under investigation aim to modulate specific inflammatory pathways associated with distinctive atopic dermatitis phenotypes, which would potentially translate into the development of personalized, targeted-specific treatments of atopic dermatitis. SUMMARY: Despite the unmet need for well tolerated, effective, and personalized treatment of atopic dermatitis, the current standard treatments of atopic dermatitis do not focus on the individual pathogenesis of the disease. The development of targeted, phenotype-specific therapies has the potential to open a new promising era of individualized treatment of atopic dermatitis. Biomarkers/metabolism Dermatitis, Atopic/*diagnosis/*metabolism/*therapy Humans Precision Medicine/*methods/trends",atop dermat phenotyp need person medicin purpos describ recent develop therapi target molecular mechan atop dermat recent current advanc understand molecular basi atop dermat lead stratif differ atop dermat phenotyp new therapi offer option molecul involv pathophysiolog atop dermat current new therapi investig aim modul specif inflammatori pathway associ distinct atop dermat phenotyp would potenti translat develop person treatment atop dermat despit unmet need well toler effect person treatment atop dermat current standard treatment atop dermat focus individu pathogenesi diseas develop target therapi potenti open new promis era individu treatment atop dermat biomark metabol dermat atop human precis medicin trend,2
28282715,Personalized Regenerative Medicine.,"Personalized medicine as a novel field of medicine refers to the prescription of specific therapeutics procedure for an individual. This approach has established based on pharmacogenetic and pharmacogenomic information and data. The terms precision and personalized medicines are sometimes applied interchangeably. However, there has been a shift from ""personalized medicine"" towards ""precision medicine"". Although personalized medicine emerged from pharmacogenetics, nowadays it covers many fields of healthcare. Accordingly, regenerative medicine and cellular therapy as the new fields of medicine use cell-based products in order to develop personalized treatments. Different sources of stem cells including mesenchymal stem cells, embryonic stem cells and induced pluripotent stem cells (iPSCs) have been considered in targeted therapies which could give many advantages. iPSCs as the novel and individual pluripotent stem cells have been introduced as the appropriate candidates for personalized cell therapies. Cellular therapies can provide a personalized approach. Because of person-to-person and population differences in the result of stem cell therapy, individualized cellular therapy must be adjusted according to the patient specific profile, in order to achieve best therapeutic results and outcomes. Several factors should be considered to achieve personalized stem cells therapy such as, recipient factors, donor factors, and the overall body environment in which the stem cells could be active and functional. In addition to these factors, the source of stem cells must be carefully chosen based on functional and physical criteria that lead to optimal outcomes.",*Cell- and Tissue-Based Therapy Embryonic Stem Cells Humans Induced Pluripotent Stem Cells Mesenchymal Stem Cells *Precision Medicine *Regenerative Medicine Stem Cell Transplantation,"Personalized Regenerative Medicine. Personalized medicine as a novel field of medicine refers to the prescription of specific therapeutics procedure for an individual. This approach has established based on pharmacogenetic and pharmacogenomic information and data. The terms precision and personalized medicines are sometimes applied interchangeably. However, there has been a shift from ""personalized medicine"" towards ""precision medicine"". Although personalized medicine emerged from pharmacogenetics, nowadays it covers many fields of healthcare. Accordingly, regenerative medicine and cellular therapy as the new fields of medicine use cell-based products in order to develop personalized treatments. Different sources of stem cells including mesenchymal stem cells, embryonic stem cells and induced pluripotent stem cells (iPSCs) have been considered in targeted therapies which could give many advantages. iPSCs as the novel and individual pluripotent stem cells have been introduced as the appropriate candidates for personalized cell therapies. Cellular therapies can provide a personalized approach. Because of person-to-person and population differences in the result of stem cell therapy, individualized cellular therapy must be adjusted according to the patient specific profile, in order to achieve best therapeutic results and outcomes. Several factors should be considered to achieve personalized stem cells therapy such as, recipient factors, donor factors, and the overall body environment in which the stem cells could be active and functional. In addition to these factors, the source of stem cells must be carefully chosen based on functional and physical criteria that lead to optimal outcomes. *Cell- and Tissue-Based Therapy Embryonic Stem Cells Humans Induced Pluripotent Stem Cells Mesenchymal Stem Cells *Precision Medicine *Regenerative Medicine Stem Cell Transplantation",person regen medicin person medicin novel field medicin refer prescript specif therapeut procedur individu approach establish base pharmacogenet pharmacogenom inform data term precis person medicin sometim appli interchang howev shift person medicin toward precis medicin although person medicin emerg pharmacogenet nowaday cover mani field healthcar accord regen medicin cellular therapi new field medicin use product order develop person treatment differ sourc stem cell includ mesenchym stem cell embryon stem cell induc pluripot stem cell ipsc consid target therapi could give mani advantag ipsc novel individu pluripot stem cell introduc appropri candid person cell therapi cellular therapi provid person approach popul differ result stem cell therapi individu cellular therapi must adjust accord patient specif profil order achiev best therapeut result outcom sever factor consid achiev person stem cell therapi recipi factor donor factor overal bodi environ stem cell could activ function addit factor sourc stem cell must care chosen base function physic criteria lead optim outcom therapi embryon stem cell human induc pluripot stem cell mesenchym stem cell medicin medicin stem cell transplant,6
30901549,Personalized Medicine and the Power of Electronic Health Records.,Personalized medicine has largely been enabled by the integration of genomic and other data with electronic health records (EHRs) in the United States and elsewhere. Increased EHR adoption across various clinical settings and the establishment of EHR-linked population-based biobanks provide unprecedented opportunities for the types of translational and implementation research that drive personalized medicine. We review advances in the digitization of health information and the proliferation of genomic research in health systems and provide insights into emerging paths for the widespread implementation of personalized medicine.,"Electronic Health Records/*trends Genetic Testing Genome, Human/genetics Genomics/methods/trends Humans Precision Medicine/*methods/*trends United States","Personalized Medicine and the Power of Electronic Health Records. Personalized medicine has largely been enabled by the integration of genomic and other data with electronic health records (EHRs) in the United States and elsewhere. Increased EHR adoption across various clinical settings and the establishment of EHR-linked population-based biobanks provide unprecedented opportunities for the types of translational and implementation research that drive personalized medicine. We review advances in the digitization of health information and the proliferation of genomic research in health systems and provide insights into emerging paths for the widespread implementation of personalized medicine. Electronic Health Records/*trends Genetic Testing Genome, Human/genetics Genomics/methods/trends Humans Precision Medicine/*methods/*trends United States",person medicin power electron health record person medicin larg enabl integr genom data electron health record ehr unit state elsewher increas ehr adopt across various clinic set establish biobank provid unpreced opportun type translat implement research drive person medicin review advanc digit health inform prolifer genom research health system provid insight emerg path widespread implement person medicin electron health record genet test genom human genet genom method trend human precis medicin unit state,6
28240172,Clinical Applications of Personalized Medicine: A New Paradigm and Challenge.,"The personalized medicine is an emergent and rapidly developing method of clinical practice that uses new technologies to provide decisions in regard to the prediction, prevention, diagnosis and treatment of disease. A continuous evolution of technology and the developments in molecular diagnostics and genomic analysis increased the possibility of an even more understanding and interpretation of the human genome and exome, allowing a ""personalized"" approach to clinical care, so that the concepts of ""Systems Medicine"" and ""System Biology"" are actually increasing. The purpose of this study is to evaluate the personalized medicine about its indications and benefits, actual clinical applications and future perspectives as well as its issues and health care implications. A careful review of the scientific literature on this field that highlighted the applicability and usefulness of this new medical approach as well as the fact that personalized medicine strategy is even more increasing in numerous fields of applications.","Genetic Testing Humans Pathology, Molecular/methods/trends Pharmacogenetics/*methods/trends Practice Patterns, Physicians'/*organization & administration/trends Precision Medicine/*methods/trends","Clinical Applications of Personalized Medicine: A New Paradigm and Challenge. The personalized medicine is an emergent and rapidly developing method of clinical practice that uses new technologies to provide decisions in regard to the prediction, prevention, diagnosis and treatment of disease. A continuous evolution of technology and the developments in molecular diagnostics and genomic analysis increased the possibility of an even more understanding and interpretation of the human genome and exome, allowing a ""personalized"" approach to clinical care, so that the concepts of ""Systems Medicine"" and ""System Biology"" are actually increasing. The purpose of this study is to evaluate the personalized medicine about its indications and benefits, actual clinical applications and future perspectives as well as its issues and health care implications. A careful review of the scientific literature on this field that highlighted the applicability and usefulness of this new medical approach as well as the fact that personalized medicine strategy is even more increasing in numerous fields of applications. Genetic Testing Humans Pathology, Molecular/methods/trends Pharmacogenetics/*methods/trends Practice Patterns, Physicians'/*organization & administration/trends Precision Medicine/*methods/trends",clinic applic person new paradigm challeng person medicin emerg rapid develop method clinic practic use new technolog provid decis regard predict prevent diagnosi treatment diseas continu evolut technolog develop molecular diagnost genom analysi increas possibl even understand interpret human genom exom allow person approach clinic care concept system medicin system biolog actual increas purpos studi evalu person medicin indic benefit actual clinic applic futur perspect well issu health care implic care review scientif literatur field highlight applic use new medic approach well fact person medicin strategi even increas numer field applic genet test human patholog molecular method trend pharmacogenet trend practic pattern physician administr trend precis medicin trend,6
31980301,Enabling Technologies for Personalized and Precision Medicine.,"Individualizing patient treatment is a core objective of the medical field. Reaching this objective has been elusive owing to the complex set of factors contributing to both disease and health; many factors, from genes to proteins, remain unknown in their role in human physiology. Accurately diagnosing, monitoring, and treating disorders requires advances in biomarker discovery, the subsequent development of accurate signatures that correspond with dynamic disease states, as well as therapeutic interventions that can be continuously optimized and modulated for dose and drug selection. This work highlights key breakthroughs in the development of enabling technologies that further the goal of personalized and precision medicine, and remaining challenges that, when addressed, may forge unprecedented capabilities in realizing truly individualized patient care.",Artificial Intelligence/*trends Biomarkers/analysis *Diagnosis Humans Precision Medicine/*trends Therapeutics/*trends,"Enabling Technologies for Personalized and Precision Medicine. Individualizing patient treatment is a core objective of the medical field. Reaching this objective has been elusive owing to the complex set of factors contributing to both disease and health; many factors, from genes to proteins, remain unknown in their role in human physiology. Accurately diagnosing, monitoring, and treating disorders requires advances in biomarker discovery, the subsequent development of accurate signatures that correspond with dynamic disease states, as well as therapeutic interventions that can be continuously optimized and modulated for dose and drug selection. This work highlights key breakthroughs in the development of enabling technologies that further the goal of personalized and precision medicine, and remaining challenges that, when addressed, may forge unprecedented capabilities in realizing truly individualized patient care. Artificial Intelligence/*trends Biomarkers/analysis *Diagnosis Humans Precision Medicine/*trends Therapeutics/*trends",enabl technolog person precis medicin individu patient treatment core object medic field reach object elus owe complex set factor contribut diseas mani factor gene protein remain unknown role human physiolog accur diagnos monitor treat disord requir advanc biomark discoveri subsequ develop accur signatur correspond dynam diseas state well therapeut intervent continu optim modul dose drug select work highlight key breakthrough develop enabl technolog goal person precis medicin remain challeng address may forg unpreced capabl realiz truli individu patient care artifici intellig biomark analysi human precis medicin therapeut,6
30113875,Organoids for Drug Discovery and Personalized Medicine.,"A wide variety of organs are in a dynamic state, continuously undergoing renewal as a result of constant growth and differentiation. Stem cells are required during these dynamic events for continuous tissue maintenance within the organs. In a steady state of production and loss of cells within these tissues, new cells are constantly formed by differentiation from stem cells. Today, organoids derived from either adult stem cells or pluripotent stem cells can be grown to resemble various organs. As they are similar to their original organs, organoids hold great promise for use in medical research and the development of new treatments. Furthermore, they have already been utilized in the clinic, enabling personalized medicine for inflammatory bowel disease. In this review, I provide an update on current organoid technology and summarize the application of organoids in basic research, disease modeling, drug development, personalized treatment, and regenerative medicine.",Animals Drug Discovery/*methods Humans Organoids/*cytology Precision Medicine/*methods Regenerative Medicine/methods,"Organoids for Drug Discovery and Personalized Medicine. A wide variety of organs are in a dynamic state, continuously undergoing renewal as a result of constant growth and differentiation. Stem cells are required during these dynamic events for continuous tissue maintenance within the organs. In a steady state of production and loss of cells within these tissues, new cells are constantly formed by differentiation from stem cells. Today, organoids derived from either adult stem cells or pluripotent stem cells can be grown to resemble various organs. As they are similar to their original organs, organoids hold great promise for use in medical research and the development of new treatments. Furthermore, they have already been utilized in the clinic, enabling personalized medicine for inflammatory bowel disease. In this review, I provide an update on current organoid technology and summarize the application of organoids in basic research, disease modeling, drug development, personalized treatment, and regenerative medicine. Animals Drug Discovery/*methods Humans Organoids/*cytology Precision Medicine/*methods Regenerative Medicine/methods",organoid drug discoveri person medicin wide varieti organ dynam state continu undergo renew result constant growth differenti stem cell requir dynam event continu tissu mainten within organ steadi state product loss cell within tissu new cell constant form differenti stem cell today organoid deriv either adult stem cell pluripot stem cell grown resembl various organ similar origin organ organoid hold great promis use medic research develop new treatment furthermor alreadi util clinic enabl person medicin inflammatori bowel diseas review provid updat current organoid technolog summar applic organoid basic research diseas model drug develop person treatment regen medicin anim drug discoveri human organoid precis medicin regen medicin method,6
29076109,A Review of Food-Drug Interactions on Oral Drug Absorption.,"Food effect, also known as food-drug interactions, is a common phenomenon associated with orally administered medications and can be defined as changes in absorption rate or absorption extent. The mechanisms of food effect and their consequences can involve multiple factors, including human post-prandial physiology, properties of the drug, and how the drug is administered. Therefore, it is essential to have a thorough understanding of these mechanisms when recommending whether a specific drug should be taken with or without food. Food-drug interactions can be clinically relevant, especially when they must be avoided to prevent undesirable effects or exploited to optimize medication therapy. This review conducts a literature search that examined studies on food effect. We summarized the literature and identified and discussed common food effect mechanisms. Furthermore, we highlighted drugs that have a clinically significant food effect and discussed the corresponding mechanisms. In addition, this review analyzes the effects of high-fat food or standard meals on the oral drug absorption rate and absorption extent for 229 drugs based on the Biopharmaceutics Drug Disposition Classification System and demonstrates an association between Biopharmaceutics Drug Disposition Classification System class and food effect.","Administration, Oral Biopharmaceutics Food-Drug Interactions/*physiology *Gastric Absorption Humans *Oral Mucosal Absorption Pharmaceutical Preparations/*metabolism","A Review of Food-Drug Interactions on Oral Drug Absorption. Food effect, also known as food-drug interactions, is a common phenomenon associated with orally administered medications and can be defined as changes in absorption rate or absorption extent. The mechanisms of food effect and their consequences can involve multiple factors, including human post-prandial physiology, properties of the drug, and how the drug is administered. Therefore, it is essential to have a thorough understanding of these mechanisms when recommending whether a specific drug should be taken with or without food. Food-drug interactions can be clinically relevant, especially when they must be avoided to prevent undesirable effects or exploited to optimize medication therapy. This review conducts a literature search that examined studies on food effect. We summarized the literature and identified and discussed common food effect mechanisms. Furthermore, we highlighted drugs that have a clinically significant food effect and discussed the corresponding mechanisms. In addition, this review analyzes the effects of high-fat food or standard meals on the oral drug absorption rate and absorption extent for 229 drugs based on the Biopharmaceutics Drug Disposition Classification System and demonstrates an association between Biopharmaceutics Drug Disposition Classification System class and food effect. Administration, Oral Biopharmaceutics Food-Drug Interactions/*physiology *Gastric Absorption Humans *Oral Mucosal Absorption Pharmaceutical Preparations/*metabolism",review interact oral drug absorpt food effect also known interact common phenomenon associ oral administ medic defin chang absorpt rate absorpt extent mechan food effect consequ involv multipl factor includ human physiolog properti drug drug administ therefor essenti thorough understand mechan recommend whether specif drug taken without food interact clinic relev especi must avoid prevent undesir effect exploit optim medic therapi review conduct literatur search examin studi food effect summar literatur identifi discuss common food effect mechan furthermor highlight drug clinic signific food effect discuss correspond mechan addit review analyz effect food standard meal oral drug absorpt rate absorpt extent drug base biopharmaceut drug disposit classif system demonstr associ biopharmaceut drug disposit classif system class food effect administr oral biopharmaceut interact absorpt human mucos absorpt pharmaceut prepar,0
29703387,Food-drug interactions precipitated by fruit juices other than grapefruit juice: An update review.,"This review addressed drug interactions precipitated by fruit juices other than grapefruit juice based on randomized controlled trials (RCTs). Literature was identified by searching PubMed, Cochrane Library, Scopus and Web of Science till December 30 2017. Among 46 finally included RCTs, six RCTs simply addressed pharmacodynamic interactions and 33 RCTs studied pharmacokinetic interactions, whereas seven RCTs investigated both pharmacokinetic and pharmacodynamic interactions. Twenty-two juice-drug combinations showed potential clinical relevance. The beneficial combinations included orange juice-ferrous fumarate, lemon juice-(99m)Tc-tetrofosmin, pomegranate juice-intravenous iron during hemodialysis, cranberry juice-triple therapy medications for H. pylori, blueberry juice-etanercept, lime juice-antimalarials, and wheat grass juice-chemotherapy. The potential adverse interactions included decreased drug bioavailability (apple juice-fexofenadine, atenolol, aliskiren; orange juice-aliskiren, atenolol, celiprolol, montelukast, fluoroquinolones, alendronate; pomelo juice-sildenafil; grape juice-cyclosporine), increased bioavailability (Seville orange juice-felodipine, pomelo juice-cyclosporine, orange-aluminum containing antacids). Unlike furanocoumarin-rich grapefruit juice which could primarily precipitate drug interactions by strong inhibition of cytochrome P450 3A4 isoenzyme and P-glycoprotein and thus cause deadly outcomes due to co-ingestion with some medications, other fruit juices did not precipitate severely detrimental food-drug interaction despite of sporadic case reports. The extent of a juice-drug interaction may be associated with volume of drinking juice, fruit varieties, type of fruit, time between juice drinking and drug intake, genetic polymorphism in the enzymes or transporters and anthropometric variables. Pharmacists and health professionals should properly screen for and educate patients about potential adverse juice-drug interactions and help minimize their occurrence. Much attention should be paid to adolescents and the elderly who ingest medications with drinking fruit juices or consume fresh fruits during drug treatment. Meanwhile, more researches in this interesting issue should be conducted.",Citrus paradisi/*adverse effects/chemistry Cytochrome P-450 CYP3A/genetics/metabolism *Food-Drug Interactions Fruit and Vegetable Juices/*adverse effects/analysis Humans Randomized Controlled Trials as Topic,"Food-drug interactions precipitated by fruit juices other than grapefruit juice: An update review. This review addressed drug interactions precipitated by fruit juices other than grapefruit juice based on randomized controlled trials (RCTs). Literature was identified by searching PubMed, Cochrane Library, Scopus and Web of Science till December 30 2017. Among 46 finally included RCTs, six RCTs simply addressed pharmacodynamic interactions and 33 RCTs studied pharmacokinetic interactions, whereas seven RCTs investigated both pharmacokinetic and pharmacodynamic interactions. Twenty-two juice-drug combinations showed potential clinical relevance. The beneficial combinations included orange juice-ferrous fumarate, lemon juice-(99m)Tc-tetrofosmin, pomegranate juice-intravenous iron during hemodialysis, cranberry juice-triple therapy medications for H. pylori, blueberry juice-etanercept, lime juice-antimalarials, and wheat grass juice-chemotherapy. The potential adverse interactions included decreased drug bioavailability (apple juice-fexofenadine, atenolol, aliskiren; orange juice-aliskiren, atenolol, celiprolol, montelukast, fluoroquinolones, alendronate; pomelo juice-sildenafil; grape juice-cyclosporine), increased bioavailability (Seville orange juice-felodipine, pomelo juice-cyclosporine, orange-aluminum containing antacids). Unlike furanocoumarin-rich grapefruit juice which could primarily precipitate drug interactions by strong inhibition of cytochrome P450 3A4 isoenzyme and P-glycoprotein and thus cause deadly outcomes due to co-ingestion with some medications, other fruit juices did not precipitate severely detrimental food-drug interaction despite of sporadic case reports. The extent of a juice-drug interaction may be associated with volume of drinking juice, fruit varieties, type of fruit, time between juice drinking and drug intake, genetic polymorphism in the enzymes or transporters and anthropometric variables. Pharmacists and health professionals should properly screen for and educate patients about potential adverse juice-drug interactions and help minimize their occurrence. Much attention should be paid to adolescents and the elderly who ingest medications with drinking fruit juices or consume fresh fruits during drug treatment. Meanwhile, more researches in this interesting issue should be conducted. Citrus paradisi/*adverse effects/chemistry Cytochrome P-450 CYP3A/genetics/metabolism *Food-Drug Interactions Fruit and Vegetable Juices/*adverse effects/analysis Humans Randomized Controlled Trials as Topic",interact precipit fruit juic grapefruit updat review review address drug interact precipit fruit juic grapefruit juic base random control trial rcts literatur identifi search pubm cochran librari scopus web scienc till decemb among final includ rcts six rcts simpli address pharmacodynam interact rcts studi pharmacokinet interact wherea seven rcts investig pharmacokinet pharmacodynam interact combin show potenti clinic relev benefici combin includ orang fumar lemon pomegran iron hemodialysi cranberri therapi medic pylori blueberri lime wheat grass potenti advers interact includ decreas drug bioavail appl atenolol orang atenolol celiprolol montelukast fluoroquinolon pomelo grape increas bioavail sevill orang pomelo contain antacid unlik grapefruit juic could primarili precipit drug interact strong inhibit cytochrom isoenzym thus caus dead outcom due medic fruit juic precipit sever detriment interact despit sporad case report extent interact may associ volum drink juic fruit varieti type fruit time juic drink drug intak genet polymorph enzym transport anthropometr variabl pharmacist health profession proper screen educ patient potenti advers interact help minim occurr much attent paid adolesc elder ingest medic drink fruit juic consum fresh fruit drug treatment meanwhil research interest issu conduct citrus paradisi effect chemistri cytochrom genet metabol interact fruit veget juic effect analysi human random control trial topic,0
28196633,"Old and new oral anticoagulants: Food, herbal medicines and drug interactions.","The most commonly prescribed oral anticoagulants worldwide are the vitamin K antagonists (VKAs) such as warfarin. Factors affecting the pharmacokinetics of VKAs are important because deviations from their narrow therapeutic window can result in bleedings due to over-anticoagulation or thrombosis because of under-anticoagulation. In addition to pharmacodynamic interactions (e.g., augmented bleeding risk for concomitant use of NSAIDs), interactions with drugs, foods, herbs, and over-the-counter medications may affect the risk/benefit ratio of VKAs. Direct oral anticoagulants (DOACs) including Factor Xa inhibitors (rivaroxaban, apixaban and edoxaban) and thrombin inhibitor (dabigatran) are poised to replace warfarin. Phase-3 studies and real-world evaluations have established that the safety profile of DOACs is superior to those of VKAs. However, some pharmacokinetic and pharmacodynamic interactions are expected. Herein we present a critical review of VKAs and DOACs with focus on their potential for interactions with drugs, foods, herbs and over-the-counter medications.","Animals Anticoagulants/chemistry/pharmacokinetics/*pharmacology/therapeutic use *Drug Interactions Food-Drug Interactions Herbal Medicine/methods Humans Plant Extracts/chemistry/pharmacokinetics/*pharmacology/therapeutic use Plants, Medicinal/chemistry Vitamin K/antagonists & inhibitors","Old and new oral anticoagulants: Food, herbal medicines and drug interactions. The most commonly prescribed oral anticoagulants worldwide are the vitamin K antagonists (VKAs) such as warfarin. Factors affecting the pharmacokinetics of VKAs are important because deviations from their narrow therapeutic window can result in bleedings due to over-anticoagulation or thrombosis because of under-anticoagulation. In addition to pharmacodynamic interactions (e.g., augmented bleeding risk for concomitant use of NSAIDs), interactions with drugs, foods, herbs, and over-the-counter medications may affect the risk/benefit ratio of VKAs. Direct oral anticoagulants (DOACs) including Factor Xa inhibitors (rivaroxaban, apixaban and edoxaban) and thrombin inhibitor (dabigatran) are poised to replace warfarin. Phase-3 studies and real-world evaluations have established that the safety profile of DOACs is superior to those of VKAs. However, some pharmacokinetic and pharmacodynamic interactions are expected. Herein we present a critical review of VKAs and DOACs with focus on their potential for interactions with drugs, foods, herbs and over-the-counter medications. Animals Anticoagulants/chemistry/pharmacokinetics/*pharmacology/therapeutic use *Drug Interactions Food-Drug Interactions Herbal Medicine/methods Humans Plant Extracts/chemistry/pharmacokinetics/*pharmacology/therapeutic use Plants, Medicinal/chemistry Vitamin K/antagonists & inhibitors",old new oral food herbal medicin drug interact common prescrib oral anticoagul worldwid vitamin antagonist vkas warfarin factor affect pharmacokinet vkas import deviat narrow therapeut window result bleed due thrombosi addit pharmacodynam interact augment bleed risk concomit use nsaid interact drug food herb medic may affect risk benefit ratio vkas direct oral anticoagul doac includ factor inhibitor rivaroxaban apixaban edoxaban thrombin inhibitor dabigatran pois replac warfarin studi evalu establish safeti profil doac superior vkas howev pharmacokinet pharmacodynam interact expect herein present critic review vkas doac focus potenti interact drug food herb medic anim anticoagul chemistri pharmacokinet therapeut use interact interact herbal medicin method human plant extract chemistri pharmacokinet therapeut use plant medicin chemistri vitamin antagonist inhibitor,0
